Chinese	Pinyin	English
个	gè	one, a, an
岁	suì	year
本	běn	volume
些	xiē	some
块	kuài	piece
次	cì	number
公斤	gōngjīn	kilogram
元	yuán	yuan
件	jiàn	piece
张	zhāng	sheet
