Chinese	Pinyin	English
我	wǒ	I, me
我们	wǒmen	we, us (pl.)
你	nǐ	you
你们	nǐmen	you (pl.)
他	tā	he, him
她	tā	she, her
他们	tāmen	they (male+female / male, pl.)
她们	tāmen	they (females, pl.)
