Chinese	Pinyin	English
哪（哪儿）	nǎ (nǎr)	where
谁	shuí	who
什么	shén me	what, why
多少	duōshǎo	how many, how much
几	jǐ	a few, how many
怎么	zěnme	how
怎么样	zěnmeyàng	how about
