Chinese	Pinyin	English
好	hǎo	good
大	dà	big
小	xiǎo	small
多	duō	many, much
少	shǎo	few, little
冷	lěng	cold
热	rè	hot
高兴	gāoxìng	happy
漂亮	piàoliàng	beautiful
